OrderID,Customer,Region,Product,Category,Quantity,Price,Discount,Sales
1001,Alice,North,Laptop,Electronics,2,50000,0.10,90000
1002,Bob,South,Phone,Electronics,3,20000,0.05,57000
1003,Charlie,East,Tablet,Electronics,1,30000,0.00,30000
1004,David,West,Chair,Furniture,5,2000,0.10,9000
1005,Eve,North,Table,Furniture,2,7000,0.15,11900
1006,Frank,South,Headphones,Accessories,4,1500,0.05,5700
1007,Grace,East,Monitor,Electronics,2,12000,0.08,22080
1008,Hank,West,Keyboard,Accessories,6,800,0.10,4320
1009,Ivy,North,Mouse,Accessories,10,500,0.05,4750
1010,Jack,South,Sofa,Furniture,1,25000,0.20,20000
1011,Kate,East,Laptop,Electronics,1,55000,0.10,49500
1012,Leo,West,Chair,Furniture,3,2200,0.05,6270
1013,Mia,North,Phone,Electronics,2,21000,0.07,39060
1014,Nina,South,Tablet,Electronics,2,28000,0.10,50400
1015,Owen,East,Monitor,Electronics,1,15000,0.05,14250
1016,Paul,West,Keyboard,Accessories,4,900,0.08,3312
1017,Quinn,North,Mouse,Accessories,8,600,0.10,4320
1018,Raj,South,Headphones,Accessories,5,1800,0.12,7920
1019,Sara,East,Sofa,Furniture,1,30000,0.15,25500
1020,Tom,West,Table,Furniture,2,8000,0.10,14400
